City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,ghat,24.9647,10.1728,24.29,12,0,5.86,LY,1708359103
263,hotan,37.0997,79.9269,-1.05,50,96,1.39,CN,1708359103
264,hammerfest,70.6634,23.6821,-0.75,93,100,1.54,NO,1708359103
265,gadzhiyevo,69.2551,33.3362,-2.23,84,100,13.56,RU,1708359104
266,scarborough,54.2797,-0.4044,11.76,70,75,3.13,GB,1708359104
267,palmares do sul,-30.2578,-50.5097,28.24,57,79,4.84,BR,1708359092
268,tapejara,-28.0681,-52.0139,24.79,74,99,0.64,BR,1708359104
269,jerada,34.31,-2.16,16.55,34,7,0.86,MA,1708359104
270,lebedyn,50.5852,34.4849,-2.94,80,76,2.55,UA,1708359104
271,alegre,-20.7636,-41.5331,28.59,76,85,0.89,BR,1708359105
272,severodvinsk,64.5635,39.8302,-7.71,89,100,4.97,RU,1708359105
273,motygino,58.1831,94.7592,-33.45,100,70,1.34,RU,1708359105
274,allapalli,19.4167,80.0667,25.58,32,2,1.03,IN,1708359105
275,chumphon,10.3333,98.8333,21.58,92,61,0.16,TH,1708359105
276,mariinsk,56.2139,87.7472,-31.08,99,30,0.82,RU,1708359105
277,murghob,38.1702,73.9667,-8.45,85,100,1.41,TJ,1708359105
278,richards bay,-28.783,32.0377,24.61,81,81,2.99,ZA,1708359105
279,ola,59.5833,151.2833,-22.68,91,100,3.62,RU,1708359105
280,tralee,52.2704,-9.7026,12.14,82,75,5.14,IE,1708359106
281,selby,53.7833,-1.0667,11.08,63,59,6.37,GB,1708359106
282,byron bay,-28.65,153.6167,19.84,94,75,3.87,AU,1708359106
283,bardai,11.65,7.2333,35.17,10,9,1.27,NG,1708359106
284,altai,46.3722,96.2583,-27.2,70,28,0.18,MN,1708359106
285,daulatpur,26.5015,67.9706,22.76,21,3,2.34,PK,1708359106
286,kokpekty,48.75,82.4,-32.32,92,8,3.02,KZ,1708359107
287,ust'-kulom,61.6864,53.6902,-8.96,96,96,2.4,RU,1708359107
288,severobaykal'sk,55.65,109.3167,-29.16,90,62,2.58,RU,1708359107
289,sujiatun,41.6592,123.3392,-10.9,52,0,3.0,CN,1708359107
290,manokwari,-0.8667,134.0833,25.52,86,99,3.74,ID,1708359107
291,nantucket,41.2835,-70.0995,3.34,52,0,9.26,US,1708358851
292,aketi,2.7388,23.7833,36.29,26,95,1.72,CD,1708359108
293,kingston,17.997,-76.7936,31.25,67,76,2.24,JM,1708358814
294,mabopane,-25.4977,28.1007,27.85,28,85,4.13,ZA,1708359108
295,grenaa,56.4158,10.8783,8.12,90,86,6.03,DK,1708359108
296,kill devil hills,36.0307,-75.676,10.0,59,0,7.2,US,1708359109
297,la passe,45.5549,-0.8967,12.13,82,100,3.81,FR,1708359109
298,labrador city,52.9463,-66.9114,-18.66,86,82,5.0,CA,1708359109
299,saldanha,-33.0117,17.9442,21.6,66,30,4.97,ZA,1708359109
300,herzberg am harz,51.65,10.3333,10.12,96,100,4.64,DE,1708359109
301,cole harbour,44.6724,-63.4751,-1.13,78,45,3.13,CA,1708359110
302,eyl,7.9803,49.8164,25.83,66,69,7.92,SO,1708359110
303,prado,-17.3411,-39.2208,29.35,76,64,4.76,BR,1708359110
304,astrakhan,46.3497,48.0408,-2.07,86,40,6.0,RU,1708359110
305,fort bragg,35.139,-79.006,11.22,31,0,4.63,US,1708359111
306,dudinka,69.4058,86.1778,-17.99,95,100,12.96,RU,1708359111
307,margate,51.3813,1.3862,12.72,73,66,3.13,GB,1708359111
308,el bolson,-41.9667,-71.5167,31.59,22,0,1.59,AR,1708359111
309,shadegan,30.6497,48.6647,19.89,36,94,2.99,IR,1708359111
310,tsiombe,-25.3,45.4833,23.66,75,10,7.82,MG,1708359112
311,crane,31.3974,-102.3501,13.49,33,0,3.29,US,1708359112
312,huskvarna,57.786,14.3021,0.0,100,75,3.09,SE,1708359112
313,ukiah,39.1502,-123.2078,11.35,89,100,4.63,US,1708359093
314,hamilton,39.1834,-84.5333,5.36,58,0,2.57,US,1708358909
315,berezovyy,51.6667,135.7,-22.06,100,100,0.6,RU,1708359113
316,mejit,10.2753,170.8646,26.89,82,95,7.37,MH,1708359113
317,svetlyy,54.675,20.1347,1.87,99,100,4.81,RU,1708359113
318,ketchikan,55.3422,-131.6461,5.99,93,100,2.06,US,1708359113
319,ca mau,9.1769,105.15,24.9,85,39,2.3,VN,1708359114
320,east london,-33.0153,27.9116,23.76,75,84,8.35,ZA,1708359114
321,vozhega,60.4725,40.2213,-9.53,93,74,2.89,RU,1708359114
322,ciudad acuna,29.3232,-100.9522,13.56,52,0,2.57,MX,1708359115
323,whitehorse,60.7161,-135.0538,-6.77,85,100,0.45,CA,1708359115
324,baidoa,3.1138,43.6498,33.53,26,100,4.95,SO,1708359115
325,flying fish cove,-10.4217,105.6791,23.82,94,75,0.0,CX,1708359116
326,keflavik,64.0049,-22.5624,6.24,87,100,10.29,IS,1708359116
327,ghanzi,-21.5667,21.7833,34.36,22,56,3.44,BW,1708359116
328,morehead city,34.7229,-76.726,12.0,62,0,6.71,US,1708359116
329,chippewa falls,44.9369,-91.3929,0.55,74,0,0.0,US,1708358926
330,lisala,2.15,21.5167,35.54,28,81,1.41,CD,1708359117
331,snowflake,34.5134,-110.0785,10.91,40,6,4.57,US,1708359117
332,saipan,15.1355,145.701,26.39,69,75,6.69,MP,1708359117
333,along,28.1667,94.7667,15.01,92,90,1.06,IN,1708359118
334,burhaniye,39.5004,26.9727,8.13,66,20,7.2,TR,1708359118
335,lata,40.1629,-8.3327,23.6,52,59,2.33,PT,1708359118
336,okhotsk,59.3833,143.3,-23.44,94,100,4.29,RU,1708359118
337,panino,51.6467,40.1346,-9.51,96,82,2.24,RU,1708359119
338,raojan,22.537,91.9198,17.86,56,0,0.72,BD,1708359119
339,tura,25.5198,90.2201,17.62,38,0,1.62,IN,1708359119
340,san martin,-33.081,-68.4681,31.3,35,0,3.28,AR,1708359120
341,progreso,21.2833,-89.6667,24.42,53,1,4.0,MX,1708359120
342,vorgashor,67.5833,63.95,-10.86,93,100,7.66,RU,1708359120
343,okha,53.5739,142.9478,-25.82,83,74,6.54,RU,1708359121
344,mokhsogollokh,61.4681,128.9203,-30.99,98,100,1.33,RU,1708359121
345,gemena,3.25,19.7667,34.98,29,72,1.92,CD,1708359121
346,salekhard,66.53,66.6019,-11.06,90,98,6.67,RU,1708359122
347,kochenevo,55.0218,82.202,-28.34,100,36,1.12,RU,1708359122
348,egilsstadir,65.2653,-14.3948,2.95,75,0,3.09,IS,1708359122
349,jiangyou,31.7667,104.7167,11.27,46,87,1.8,CN,1708359122
350,kattivakkam,13.2167,80.3167,28.05,70,13,5.54,IN,1708359123
351,tianpeng,30.9866,103.9393,10.96,55,100,3.27,CN,1708359123
352,genhe,50.7833,121.5167,-30.49,100,94,1.43,CN,1708359124
353,baturaja,-4.1333,104.1667,24.1,98,82,0.86,ID,1708359124
